Primary_key,id
56931,1587
57087,9271
57294,2064
57476,19855
57579,60855
57780,236
57954,48287
58134,3049
58289,2759
58464,12635
58728,10497
58941,11382
59119,9331
59300,10731
59500,10464
59753,34152
59887,9495
60054,29973
60154,888
60326,13
60495,712
60680,16295
60854,48992
61074,10879
61291,10660
61473,10714
61694,41647
61880,8587
62052,1689
62189,11596
62395,854
62632,9359
62859,23333
62989,36593
63152,12280
63287,2788
63395,10427
63565,11011
63746,49803
63854,8987
64058,1637
64221,15128
64362,8831
64566,36955
64833,10449
65074,10395
65174,12160
65341,40480
65544,52038
65692,29444
65824,26352
66000,39953
66150,41580
66263,315
66418,22067
66590,18242
66764,11667
66982,32502
67120,267188
67158,28732
67387,75555
67524,42981
67601,278939
67813,291731
67946,226229
68080,203119
68187,172923
68226,316098
68335,8011
68533,171857
68571,2654
68755,18069
68936,19092
69074,2758
69254,38129
69380,10436
69569,13595
69735,46094
69881,9409
70023,11853
70298,16771
70508,46924
70707,11041
70825,306
71000,14522
71204,26203
71399,178
71563,19819
71669,57834
71849,4722
72031,18215
72174,1607
72351,26391
72457,117553
72597,6075
72837,11310
73155,18658
73328,9350
73500,9612
73678,2124
73926,26261
74140,19176
74312,49299
74422,11566
74523,9571
74666,9739
74845,24257
74967,34444
75225,26141
75369,10997
75488,50463
75657,10443
75761,20239
75877,16297
76014,18551
76191,25440
76433,9024
76580,37233
76749,1634
76889,13815
77051,5503
77286,35588
77544,2087
77712,41579
77892,18620
78029,41006
78175,4916
78315,2019
78516,31642
78764,9255
78940,26271
79052,10612
79270,2259
79464,16097
79574,11934
79719,106143
79862,12475
79974,9386
80212,7984
80332,59930
80503,15765
80660,31643
80814,6
80982,329
81174,10909
81312,507
81550,34024
81662,29918
81860,9593
82099,42580
82244,22317
82456,1413
82597,12121
82709,2246
82839,10502
82957,10440
83111,9516
83282,2320
83490,5879
83647,83718
83857,11971
84039,2625
84177,31911
84321,788
84490,21450
84621,11231
84740,41588
84877,10447
85084,31586
85319,9300
85486,9559
85657,9800
85764,713
85934,8291
86119,18133
86224,25557
86411,22588
86682,10872
86786,1245
86937,11858
87120,7007
87329,10467
87481,5550
87762,8005
87883,2088
88086,10412
88430,47889
88576,14534
88717,56583
88839,41878
89031,424
89330,35233
89465,14291
89588,103413
89696,11236
89873,11592
90071,8850
90313,10445
90454,695
90588,43535
90739,12519
90871,23210
91055,858
91233,867
91365,78
91717,13203
91887,10442
92121,11074
92329,33367
